eval_d,mkt_rf,smb,hml,rmw,wml,call_rate,kospi,mom,beme,gpa,usdkrw
2005-02-02,-0.002255708,-0.010670819,0.020044389,0.007792263,-0.000676252,8.90E-05,-0.00243588,0.00863292,0.03157863,0.00766103,0.00034054
2005-02-03,0.00742697,-0.020140133,0.015823477,0.001554046,0.000581339,8.93E-05,0.00797665,0.00996264,0.00631361,-0.00178278,-0.00228623
2005-02-04,0.005382603,0.00242443,-0.003038915,-0.002029181,-0.000417072,8.82E-05,0.00512495,0.0151456,0.0125112,0.00833645,0.00195027
2005-02-07,0.015576521,0.015083641,-0.000750764,0.003664035,0.011783318,0.00026137,0.01675325,0.02721537,0.02280927,0.01971289,-0.00097324
2005-02-11,-0.003011667,0.017648708,0.002075251,-0.00324178,0.015797779,0.000358356,-0.00206492,0.01426896,0.01342897,0.00582157,0.00681929
2005-02-14,0.017006094,0.017920999,0.001124279,0.012237056,0.003326143,0.000267945,0.01853826,0.01818135,0.02325528,0.02304552,-0.00774069
2005-02-15,0.004232759,0.014249247,-0.004043146,0.004675414,-0.001806253,8.93E-05,0.00423926,0.00484282,0.01416242,0.00239239,0.00126758
2005-02-16,0.002859362,0.007897341,0.003933005,0.003045667,-0.006738765,8.93E-05,0.00276608,0.00312232,7.19E-05,0.00326439,-0.00126597
2005-02-17,0.000546088,0.010560673,0.004331312,0.000630723,-0.000185154,8.96E-05,0.00102927,0.00292385,0.0126449,0.00656485,0
2005-02-18,0.011822064,-0.002464127,0.002555084,0.002518844,-0.003571073,8.93E-05,0.01186559,0.0096862,0.0192892,0.0112277,-0.00097513
2005-02-21,0.005089999,0.005485201,0.008635136,0.000475709,-9.46E-05,0.000267945,0.00468448,0.02158801,0.03137524,0.0192732,-0.00097609
2005-02-22,-0.010627684,-0.013081765,0.009358044,0.004212023,0.000249512,8.82E-05,-0.01103458,-0.01118508,-0.00928227,-0.01403675,-0.01758671
2005-02-23,-0.009636967,-0.014747492,0.01467156,0.000945589,0.011666265,8.99E-05,-0.00958274,0.00855175,0.01672172,0.00168268,-0.00198906
2005-02-24,0.0180734,-0.009222029,0.009119104,0.004848701,-0.000815351,8.96E-05,0.01927863,0.01983085,0.0354799,0.02199861,0.00298954
2005-02-25,0.010237967,-0.01841784,0.009316771,0.001884099,-0.002841869,8.99E-05,0.00997873,0.00360865,0.00014679,0.00543862,0.00198708
2005-02-28,0.013230047,-0.007598173,0.016493005,0.004325061,0.010143357,0.000269589,0.01445408,0.01050868,0.03281321,0.00433128,-0.00198314
2005-03-02,-0.005515923,0.000463053,0.013420841,-0.005640633,0.003786996,0.000179726,-0.00383642,-0.00304287,0.00551063,0.01033629,0.00099354
2005-03-03,0.003521906,0.000657034,0.00045779,0.001115622,0.004428985,8.96E-05,0.00341446,0.00403323,0.0206089,0.01330174,-0.00099256
2005-03-04,-8.90E-05,0.003710212,-0.003123211,-0.009630247,0.003853028,8.90E-05,0.00201796,0.01121609,0.00686477,0.00683409,0.00198708
2005-03-07,-0.00391504,0.006143943,-0.00530677,0.002871808,0.005586229,0.000260548,-0.00539014,-0.00990043,-0.00781614,-0.01305079,-0.00376797
2005-03-08,-0.007006813,-0.010813214,0.00246751,-0.005950108,-0.010662463,8.96E-05,-0.00716625,-0.02641514,-0.02614278,-0.01963085,-0.00039823
2005-03-09,0.008036717,-0.012376776,0.024033047,-0.009754127,0.010077204,8.96E-05,0.00850762,0.02142124,0.00777993,0.01215323,-0.0031863
2005-03-10,-0.011604746,0.005439258,0.002507407,0.001426096,0.010245779,8.93E-05,-0.01004173,-0.00943138,0.00137124,-0.00263996,-0.00079912
2005-03-11,0.024841061,-0.009845445,0.001128316,0.005632799,-0.00094751,8.90E-05,0.02416238,0.01218184,0.01679076,0.01946515,-0.00254914
2005-03-14,-0.003877507,0.00919196,0.006867195,0.002880675,0.006059252,0.000266301,-0.00303093,0.00709629,0.0053054,0.00295393,0.00305678
2005-03-15,-0.026862936,0.01215176,0.006125568,0.001424546,0.00048854,8.88E-05,-0.02604713,-0.02585866,-0.03389879,-0.01544099,0.00309762
2005-03-16,0.001630928,0.002663726,-0.005619903,0.001457911,-0.010785336,8.85E-05,0,-0.00131329,-0.00346092,0.00298935,-9.97E-05
2005-03-17,-0.011713679,-0.005750132,-0.007421581,-0.000863691,-0.0044673,8.85E-05,-0.01317048,-0.03161405,-0.0411936,-0.01650728,-0.00293883
2005-03-18,0.001016654,-0.015688681,0.000950536,-0.004427381,-0.001540984,8.85E-05,-0.00033672,-0.00620496,-0.01489994,-0.0076095,0.00414658
2005-03-21,7.11E-05,-0.004285971,-0.004001284,0.001725471,0.014800617,0.000259726,-0.00045931,-0.00890413,-0.01053859,-0.01421601,0.00447761
2005-03-22,0.000149669,-0.006304249,0.002845065,0.001809227,0.001159047,8.68E-05,0.00116413,-0.00276168,6.14E-05,-0.00474653,9.90E-05
2005-03-23,-0.013566857,0.003672217,-0.004971446,0.003241357,-0.005344767,8.85E-05,-0.01387175,-0.01672042,-0.02830765,-0.02298954,-0.00108944
2005-03-24,-0.010954585,0.009919588,-0.007001858,0.009210473,-0.010122198,8.85E-05,-0.01083977,-0.01261853,-0.01147864,-0.00365461,0.00495786
2005-03-25,0.010169166,-0.006156629,0.001818068,0.001952604,-0.00870169,8.93E-05,0.00937961,0.01217301,0.02400442,0.01557387,0
2005-03-28,0.013103571,-0.000271967,-0.001114795,0.002942853,0.00315399,0.000267123,0.01284575,0.01266348,0.01593203,0.02686036,0.00296004
2005-03-29,-0.02052753,0.008410603,-0.000359728,0.002523124,0.001125136,8.88E-05,-0.01916743,-0.01158059,-0.0183129,-0.02168198,0.00688637
2005-03-30,-0.005244926,0.006394141,0.003140635,-0.00240502,-0.000918266,8.90E-05,-0.00366022,0.00457237,0.00163681,0.00174316,0
2005-03-31,0.010356875,-0.002945792,0.004590484,-0.003630878,0.000258611,8.93E-05,0.010707,0.01230178,0.01002169,0.00838211,-0.00781632
2005-04-01,0.016740579,-0.001360175,-0.008098975,0.002217585,6.23E-05,8.90E-05,0.01679645,0.01244317,0.01176531,0.00580864,-0.00787789
2005-04-04,0.00259093,0.002892809,0.005725527,-0.000702761,0.004075112,0.000266301,0.00061106,0.00190833,-0.0048398,-0.00190123,0.00595533
2005-04-06,0.004863558,0.002732701,0.004361458,-0.00218784,-0.002797186,0.000176986,0.00559796,0.00841481,0.00144144,0.00862785,0
2005-04-07,0.000459023,0.00390003,-0.005521259,0.007760739,-0.000516667,8.85E-05,0.00091093,0.00212728,0.0057509,0.00076864,-0.00098668
2005-04-08,0.003975726,0.007899918,0.000619255,0.001032766,-0.002674236,8.93E-05,0.0033067,-0.00136388,0.00272305,0.00666614,0.00266667
2005-04-11,-0.006706917,0.006034866,0.003274874,-0.005693494,0.001741176,0.000267123,-0.00627917,0.00382859,-0.00785455,-0.00780444,0.00029551
2005-04-12,-0.002831929,0.004623531,-5.84E-06,0.007343707,-0.001219438,8.88E-05,-0.00420918,-0.00865304,-0.01064719,-0.00091182,0.00098474
2005-04-13,0.000225325,-0.010408423,0.012414425,-0.001009856,0.002307214,8.90E-05,-0.0004889,0.00333516,0.00122857,0.00152947,-0.00491884
2005-04-14,-0.03143725,0.01548467,0.000879796,0.001044862,-0.000619376,8.90E-05,-0.02791167,-0.01694296,-0.01926054,-0.02073899,0.00593178
2005-04-15,-0.007226958,-0.005333364,0.002455833,-0.006328938,-0.006733733,8.93E-05,-0.00702365,-0.01348484,-0.02011822,-0.00679372,0.004914
2005-04-18,-0.021737599,-0.019780856,0.011213821,-0.003888528,-0.003725462,0.000267123,-0.02345812,-0.04073258,-0.03575591,-0.02052132,-0.00273839
2005-04-19,0.00608971,0.011184822,0.000503715,0.000111381,0.000239974,8.93E-05,0.00805405,0.01915443,0.01735411,0.0096877,-0.00608022
2005-04-20,0.004475,-3.03E-05,0.004078639,0.00146547,0.001462938,8.93E-05,0.0052657,0.00742103,0.00533077,0.00155839,-0.00296004
2005-04-21,0.00205938,-0.007825781,0.00821719,-4.11E-05,0.003124488,8.85E-05,0.00189895,0.00869455,0.00425817,0.00531944,-0.00197922
2005-04-22,0.0003234,0.009977365,0.005032008,-0.002012282,0.001096385,8.88E-05,0.00175693,0.00045671,0.00857174,0.00110357,-0.00396629
2005-04-25,0.005843447,0.000436623,0.002508865,-0.003208565,0.004604857,0.000267945,0.0057186,-0.0058781,0.00390308,-0.0002663,-0.00547536
2005-04-26,-0.001399931,-0.00284326,0.011116576,-0.004691399,0.002698926,8.93E-05,-0.00180729,-0.00125688,0.00105782,0.00297981,-0.00020039
2005-04-27,-0.016165705,0.007365881,-0.001911882,0.005464029,0.0010967,8.96E-05,-0.01514093,-0.01841045,-0.01986465,-0.0134724,0.00410512
2005-04-28,-0.013427368,0.004164509,0.005626405,-0.004080277,0.002652806,8.96E-05,-0.01336329,-0.01121036,-0.01166083,-0.00751523,-0.00039884
2005-04-29,-0.006680201,-0.011407981,0.005582789,0.000162502,-0.003615614,9.01E-05,-0.00700642,-0.01048849,-0.01158905,-0.00546773,-0.00538667
2005-05-02,0.007394129,0.001932173,0.000464497,0.002614464,0.003100802,0.000270411,0.00781301,0.00280992,0.01026012,0.00497444,0.00441294
2005-05-03,-0.004902162,0.000782577,0.001100495,-0.000600727,3.81E-05,9.04E-05,-0.0050086,0.00457769,0.00496259,-0.00043649,0.0009985
2005-05-04,0.017385971,0.000928667,-0.003996995,0.009246673,-0.001724869,8.79E-05,0.01699459,0.01687644,0.02846431,0.02139517,-0.00279306
2005-05-06,0.010831628,0.00661828,-0.018700661,0.006558989,-0.004807035,0.000179178,0.01237424,0.00360528,0.00997163,0.00512729,-0.00160058
2005-05-09,-0.006522596,0.006541198,-0.009536406,0.001891074,-0.003109143,0.000270411,-0.00600521,-0.01864857,-0.02095398,-0.01318603,0.00240471
2005-05-10,-0.000754422,0.01133003,-0.005994622,0.000601083,-0.006205687,9.04E-05,-0.00098375,-0.00896541,-0.00674356,0.00097654,-0.00139944
2005-05-11,-0.011552205,0.007656286,0.002707883,-0.000826771,-0.003708311,9.04E-05,-0.01166674,-0.00804528,-0.01573711,-0.00662729,0.0034032
2005-05-12,-0.002863054,0.008591887,-0.002036258,0.002387443,0.001286788,9.04E-05,-0.00235006,-0.00245604,0.00233957,-0.00469153,-0.00289291
2005-05-13,0.001426419,0.004081522,-0.008018882,-0.000517744,-0.004728685,9.01E-05,0.00214935,-0.00129163,-0.0033859,-0.00275987,0.00200084
2005-05-16,0.006471653,0.005708756,-0.000512519,0.001584005,-0.00671712,0.000270411,0.00633672,0.00304622,0.00943366,0.00527347,0.00788748
2005-05-17,-0.001260216,0.006393275,-0.001531442,-0.000424815,-0.007768597,9.01E-05,-0.00202359,-0.00445436,-0.00691327,0.00141433,-0.00495295
2005-05-18,0.004679338,0.008136726,-0.000622111,-0.000197858,0.00302212,9.01E-05,0.0034514,-0.00546595,0.01016024,0.00500634,0.00069686
2005-05-19,0.024562836,-0.009400915,0.003278223,-0.000709704,0.003377842,8.74E-05,0.02335655,0.02189112,0.02250879,0.02259257,0.00129327
2005-05-20,-0.000251042,0.001500438,0.000198629,-0.003414021,-0.00683807,8.85E-05,0.00010503,0.00431876,0.0005342,-0.00089691,-0.00208644
2005-05-23,-0.001309451,0.003739252,-0.002599158,0.000309909,0.004646877,0.000270411,-0.00119724,0.01422463,0.00588926,0.0040411,9.96E-05
2005-05-24,0.00023541,-0.000261299,-0.005841032,-0.004435169,-0.005138269,9.01E-05,0.00058882,-0.00318276,-0.00417262,-0.00558047,-0.00358387
2005-05-25,-0.01261963,0.005244098,0.00263762,-0.002647648,-0.007991529,9.01E-05,-0.01083427,-0.0028689,-0.01025906,-0.00395439,-0.00039964
2005-05-26,0.002628822,0.004083201,-0.006232108,-0.001484042,-0.00245976,9.01E-05,0.00277276,0.01557975,0.01248341,0.01521503,0.001999
2005-05-27,0.017904933,-0.007864206,-0.00112074,-0.001704354,-0.005891521,9.01E-05,0.01801019,0.01594221,0.00952009,0.01732259,9.97E-05
2005-05-30,0.00596362,0.005875405,0.005064548,-0.001326224,-0.009735599,0.000270411,0.00846073,0.00815679,0.00920811,0.00490712,-4.99E-05
2005-05-31,0.001514484,0.001234797,0.002656754,-0.006660624,0.00439747,9.01E-05,0.00120738,0.01359557,0.00928285,0.00843058,0.00593497
2005-06-01,0.000390752,0.003397461,-3.77E-05,-0.001950826,0.004306627,8.99E-05,-0.00072149,-0.00297966,0.00479972,-0.00228128,0.00198314
2005-06-02,0.001031034,0.01102347,-0.003246283,0.005696169,0.010193047,8.99E-05,0.00141308,0.01248972,0.00357862,0.00908434,0.00296883
2005-06-03,0.005190366,0.000865508,-0.005432493,0.002393561,0.002179894,8.79E-05,0.00536627,0.02169212,0.00204431,0.01264901,-0.00592008
2005-06-07,-0.00732713,0.013747686,-0.00585381,-0.000418631,0.004313184,0.000350685,-0.00533762,0.01025388,-0.00417507,0.00334974,-0.00198511
2005-06-08,0.006561311,-0.009780102,0.003394965,-0.011662204,-0.010492148,8.99E-05,0.00550016,-0.00107011,0.00749266,-0.00129043,0.00019891
2005-06-09,0.012646962,-0.004819871,-0.003491608,-0.010506307,0.001999425,8.99E-05,0.01163672,0.01034383,0.00968905,0.00879267,-0.00218753
2005-06-10,0.003525647,-0.000302709,0.008600074,0.003750558,0.003436969,9.01E-05,0.00325037,0.01421863,0.01979139,0.00640186,0.00348779
2005-06-13,-0.000324826,0.008640775,-0.0017048,0.004710584,0.000881565,0.000269589,-0.00030279,-0.00134202,-0.00168798,0.00356784,0.00546177
2005-06-14,-0.005965578,-0.00330502,0.000927654,0.002004068,0.00029932,9.01E-05,-0.00680471,-0.00575341,-0.00866032,0.00303816,-0.00296296
2005-06-15,0.01858626,-0.010961103,0.010791629,-0.005731911,0.00577192,8.99E-05,0.01849047,0.0187738,0.02148327,0.0169508,0.00297177
2005-06-16,-8.96E-05,0.009045193,-0.004436318,0.001340048,0.007075384,8.96E-05,0.00119768,0.00523031,0.01837313,0.00181012,0.00098765
2005-06-17,0.000374556,0.001721068,0.003181532,-0.007770688,0.005041809,8.96E-05,0.00053831,0.00016213,0.00193203,0.0008921,-0.00394672
2005-06-20,-0.009058892,0.013531861,-0.01241858,0.003515835,0.000174665,0.000268767,-0.00899689,-0.00770062,-0.00701723,-0.01038527,-0.00099059
2005-06-21,-0.004066762,0.00442995,-0.002165246,0.001388587,0.001626606,8.77E-05,-0.00468507,0.00243186,-0.01047982,0.00203628,0.00495786
2005-06-22,0.01228868,-0.007790101,0.0160372,-0.004122183,0.003926482,8.79E-05,0.01228295,0.02215328,0.01943976,0.01269746,-0.00296004
2005-06-23,0.008808585,-0.003994753,0.010096556,-0.004884692,0.005131949,8.96E-05,0.00863144,0.02232373,0.01827561,0.00997841,4.94E-05
2005-06-24,-0.010136372,0.009522126,0.005020549,-0.002512265,0.014852483,8.96E-05,-0.00828057,0.03078606,0.01117641,0.00596843,0.0029193
2005-06-27,-0.012717417,0.016337129,-0.007715246,0.009823503,0.006430952,0.000268767,-0.01129256,0.0043376,-0.00714862,-0.00444446,-0.00098668
2005-06-28,0.003598406,0.002108065,-0.00474133,0.00230888,0.002519146,8.93E-05,0.00366256,-0.00495585,0.00320271,0.00121422,0.01185185
2005-06-29,0.003741204,0.000416805,-0.00239546,0.002417946,0.000857656,8.93E-05,0.00436295,0.03807281,0.00980944,0.0203974,0.00195217
2005-06-30,0.007852896,-0.004929209,0.006329652,-0.002214646,0.005510589,9.04E-05,0.00908836,0.02050883,0.03294149,0.01278542,0.00681929
2005-07-01,0.008873058,0.001118141,0.008601729,-0.006521618,-0.004633311,8.93E-05,0.00978019,0.00145453,0.02135022,0.00836054,0
2005-07-04,0.002667678,0.01804434,-0.003318977,0.000627319,0.000108811,0.000267123,0.00362468,0.02357732,0.01852802,0.02149814,0.00962748
2005-07-05,-0.003219459,0.012931758,-0.00238329,0.005223265,0.002560754,8.85E-05,-0.00283838,-0.0028811,-0.00017308,-0.00151571,0.00771479
2005-07-06,0.000757996,0.014224285,-0.007529253,0.00637114,-0.004944082,8.47E-05,0.00019631,-0.01722443,-0.00287527,-0.00097896,-0.00285307
2005-07-07,0.008106806,0.0051996,-0.004867845,0.001841361,-0.003613476,8.30E-05,0.0076643,0.0012829,0.00494389,0.0014133,0.00381497
2005-07-08,-0.003425899,0.006328864,-0.012607457,0.002355092,-0.012347088,8.55E-05,-0.0047428,-0.01209612,-0.02055071,-0.0200082,0.00190024
